From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
0,414,Co-Offenders,btb selling cocaine,G45,NONE
0,427,Legitimate,Associate,G45,NONE
0,1031,Legitimate,Associate,G45,NONE
0,1869,Legitimate,bt purchase property together in the US,G45,NONE
0,1956,Legitimate,used to be in business together,G45,NONE
0,522,Legitimate,btb associate,G45,G2
0,655,Co-Offenders,bt sell cocaine,G45,G45
0,232,Legitimate,Associate,G45,G9
4,1670,Co-Offenders,"Cocaine Rip, Shooting",G175,G175
5,4,Co-Offenders,"debt collection, drugs, home invasions, extortion & kidnapping",G175,G175
10,213,Legitimate,btb personal associate,G9,G9
16,1666,Legitimate,associate,"G73, G131",G110
16,1905,Legitimate,Associate,"G73, G131",G110
17,109,Co-Offenders,,"G73, G131",NONE
17,496,Legitimate,Former Associate,"G73, G131",NONE
17,694,Legitimate,Former Associate,"G73, G131",NONE
17,827,Legitimate,Former Associate,"G73, G131",NONE
17,1892,Co-Offenders,Same Cell,"G73, G131",NONE
17,502,Co-Offenders,Same Cell,"G73, G131",G131
17,16,Co-Offenders,,"G73, G131","G73, G131"
20,1905,Co-Offenders,working together re drugs,G183,G110
20,3,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,78,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,146,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,506,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,669,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,739,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,746,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,779,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1291,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1352,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1553,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1716,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,19,Co-Offenders,possession of narcotics,G183,G183
21,1235,Legitimate,user of Blackberry,"G47, G81","G47, G81"
23,1470,Legitimate,assoicate,NONE,G169
