Node_ID,Gender,DOB_Year,Age_First_Analysis,Drug_Activity,Recode_Level,Drug_Type,Group_Membership_Type,Group_Membership_Code
0,0,1943,73,0,0,0,0,6.0
1,1,1965,51,1,1,1,0,6.0
2,1,1969,47,1,2,2,1,9.0
3,1.0,1980,36,1,3,3,2,11.0
4,1,1986,30,1,4,2,3,13.0
5,1,1985,31,1,4,1,1,9.0
6,1,1982,34,1,4,1,1,9.0
7,1,1977,39,0,0,0,4,99.0
8,1,1976,40,1,5,4,1,9.0
9,1,1985,31,0,0,0,4,99.0
10,1,1970,46,0,0,0,0,6.0
11,1,1964,52,0,0,0,2,11.0
12,1,1955,61,1,6,5,0,6.0
13,1.0,1968.0,48.0,0,0,0,4,99.0
14,1,1975,41,1,2,2,5,1.0
15,1,1956,60,1,7,2,2,11.0
16,1,1979,37,0,0,0,4,99.0
17,1,1979,37,0,0,0,0,6.0
18,1,1979,37,0,0,0,0,6.0
19,1,1979,37,1,5,4,1,9.0
20,1,1987,29,1,8,2,3,13.0
21,1,1981,35,1,4,5,3,13.0
22,0,1978,38,1,8,2,0,6.0
23,1,1980,36,0,0,0,0,6.0
24,1,1949,67,0,0,0,4,99.0
25,1,1955,61,1,9,6,2,11.0
26,1,1951,65,1,9,7,2,11.0
27,1,1982,34,1,10,1,0,6.0
28,1.0,1980,36,1,10,1,0,6.0
29,1,1973,43,0,0,0,4,99.0
30,1.0,1981,35,0,0,0,0,6.0
31,1,1964,52,0,0,0,4,99.0
32,1,1979,37,0,0,0,0,6.0
33,1,1965,51,0,0,0,4,99.0
34,1,1954,62,0,0,0,4,99.0
35,1,1986,30,0,0,0,3,13.0
36,0,1968.0,48.0,0,0,0,4,99.0
37,1,1978,38,0,0,0,4,99.0
38,1,1967,49,0,0,0,0,6.0
39,1,1971.0,45.0,1,8,1,4,99.0
40,1,1976,40,1,8,1,0,6.0
41,1,1941,75,1,2,2,1,9.0
42,1,1985,31,0,0,0,4,99.0
43,1,1968.0,48.0,0,0,0,4,99.0
44,1,1988,28,0,0,0,3,13.0
45,1,1970,46,0,0,0,2,11.0
46,1,1988,28,0,0,0,3,13.0
47,1,1968,48,0,0,0,0,6.0
48,1,1948,68,1,6,2,6,14.0
49,1,1982,34,0,0,0,0,6.0
50,1,1977,39,0,0,0,4,99.0
51,1,1966,50,0,0,0,2,11.0
52,1,1977,39,0,0,0,4,99.0
53,1,1980,36,0,0,0,0,6.0
54,1,1969,47,0,0,0,7,4.0
55,1,1974,42,1,10,2,0,6.0
56,1,1967,49,0,0,0,2,11.0
57,1,1978,38,0,0,0,0,6.0
58,1,1972,44,0,0,0,0,6.0
59,1,1980,36,1,1,1,0,6.0
60,1,1978,38,0,0,0,0,6.0
61,1,1988,28,1,8,1,4,99.0
62,1,1978,38,1,8,8,0,6.0
63,1,1984,32,0,0,0,4,99.0
64,1,1984,32,0,0,0,4,99.0
65,1,1953,63,1,11,2,4,99.0
