net_name,n_node_total,n_layer,obs_frac,log2H,accuracy
drug,2114,2,0.1,-197.1937208,0.998492579
drug,2114,2,0.2,-1220.254331,0.998504332
drug,2114,2,0.3,-2683.673341,0.998503609
drug,2114,2,0.5,-8298.58732,0.998531872
drug,2114,2,0.7,-15350.54982,0.998547827
drug,2114,2,0.9,-23214.88622,0.998683353
drug,2114,2,0.95,-24455.73453,0.99852556
drug,2196,4,0.1,-623.6688095511818,,0.9982352222561832
drug,2196,4,0.2,-2898.999197809044,,0.9982368119898354
drug,2196,4,0.3,-7173.83257304213,,0.9982577891013846
drug,2196,4,0.5,-17868.422987776317,,0.998309480285007
drug,2196,4,0.7,-28492.55609224151,,0.9984586253127116
drug,2196,4,0.9,-34825.52930425936,,0.9983413765637446
drug,2196,4,0.95,-38355.632252432486,,0.9983988955255361
mafia,143,2,0.1,-22340.409364970707,,0.9582382473756276
mafia,143,2,0.2,-69.53232707493663,,0.9577302631578947
mafia,143,2,0.3,-513.7457297170638,,0.9593316831683169
mafia,143,2,0.5,-766.9419906888915,,0.9581360503446209
mafia,143,2,0.7,-1312.4163577816087,,0.9573628280199523
mafia,143,2,0.9,-1628.3495532080865,,0.9621348314606741
mafia,143,2,0.95,-1724.8366244979927,,0.9615300546448088
drug,2139,3,0.1,-330.21375877464277,,0.9983117545594922
drug,2139,3,0.2,-2398.3192371086784,,0.9983188014714305
drug,2139,3,0.3,-5571.535877248713,,0.9983344335059773
drug,2139,3,0.5,-13657.870626080543,,0.9983619292919682
drug,2139,3,0.7,-23662.19953753046,,0.9985428542710683
drug,2139,3,0.9,-30729.70431309074,,0.9985245032366148
drug,2139,3,0.95,-33685.0599929518,,0.9986506403234479
elegan,279,3,0.1,-434.17745891372596,,0.9704710054442834
elegan,279,3,0.2,-2602.291896176647,,0.9706727898020965
elegan,279,3,0.3,-6274.891122914986,,0.9709278462457245
elegan,279,3,0.5,-11541.060643261924,,0.9721428665464265
elegan,279,3,0.7,-15258.986472206783,,0.9733562145694343
elegan,279,3,0.9,-14713.385509509742,,0.9712584684869636
elegan,279,3,0.95,-14508.192879878578,,0.9758821785114165
london_transport,356,3,0.1,-inf,,0.9915406565858603
london_transport,356,3,0.2,-242.88356373266524,,0.9915122862954208
london_transport,356,3,0.3,-449.36940542526884,,0.9915359865503348
london_transport,356,3,0.5,-1507.6132009004748,,0.9916303583977513
london_transport,356,3,0.7,-2480.4308061431816,,0.9918907779495105
london_transport,356,3,0.9,-4071.3885317906606,,0.9920252123869554
london_transport,356,3,0.95,-4189.287160575401,,0.9917477003942181
london_transport,318,2,0.1,-inf,,0.9922039554668052
london_transport,318,2,0.2,-72.07329019019542,,0.992223099481164
london_transport,318,2,0.3,-149.98641537460915,,0.9922036216585888
london_transport,318,2,0.5,-502.3143394580726,,0.9922220219859434
london_transport,318,2,0.7,-1160.6681243291491,,0.9924122969469285
london_transport,318,2,0.9,-1892.7953280814515,,0.9928380093049487
london_transport,318,2,0.95,-2042.738841921468,,0.9917912476216364
