net_name,n_node_total,n_layer,obs_frac,log2H,AUC-PR,G-mean,MCC,ave_deg,link_density,edge_overlap_ratio,IG_ratio
elegan,279,3,0.1,-426.86605349518305,0.07074320208896315,0.033594018174033694,0.028874204633518835,[0.02886897 0.26816109 0.27047818],[0.00020629 0.00049509 0.00056729],[1.99148552 1.99670973 2.00199067],2.701388217378777
elegan,279,3,0.2,-2969.9245586764378,0.07954591289313113,0.09599626961872584,0.07179978401521528,[0.12818993 1.18976488 1.29401867],[0.00085609 0.00152652 0.00324901],[1.90679972 1.90684614 2.00719424],3.5072991694778763
elegan,279,3,0.3,-6521.539456419581,0.12127790162919025,0.17594831952166343,0.1408814763624373,[0.26762478 2.28276083 2.83749603],[0.00174312 0.00325933 0.00666306],[1.79205797 1.79227457 2.00719424],3.2230121573716985
elegan,279,3,0.5,-11739.060265053718,0.23660992755000426,0.29797075724648187,0.2355250312022951,[0.63774375 4.98252648 5.65451755],[0.00369253 0.00821021 0.01215028],[1.70185916 1.70310203 2.00719424],2.2020078872641298
elegan,279,3,0.7,-15550.130964613714,0.38126676183390146,0.44313539482745384,0.3436297934240317,[0.89202908 6.23427357 8.48005716],[0.00458988 0.0092829  0.01462572],[1.79077383 1.79282638 2.00719424],1.8602284845475174
elegan,279,3,0.9,-15067.63620361819,0.5014845662562244,0.5868023471773508,0.4410157498269521,[ 0.939978    6.69510241 10.02354947],[0.00437328 0.00832366 0.00836492],[1.88258683 1.95817024 1.93443181],1.2445441156621706
elegan,279,3,0.95,-14450.639215576273,0.4802028048237104,0.5940160359851007,0.42444670902703896,[ 0.90405451  6.27767682 10.3110467 ],[0.00404322 0.0057554  0.00645677],[1.88969856 1.91465924 1.98379103],1.1076718917265649
london_transport,356,3,0.1,-147088.7576994514,0.5042430061071552,0.0,0.0,[0.00690848 0.00503824 0.00958824],[0. 0. 0.],[2.0056338  2.00545972 2.00547555],1.2699421878802954
london_transport,356,3,0.2,-284.3108398869813,0.4052119669665829,0.016248889274047752,0.016181529813815362,[0.03004592 0.01716034 0.03151177],[0. 0. 0.],[2.0056338  2.00485203 2.00485203],1.0883254378011016
london_transport,356,3,0.3,-538.29675917488,0.43659627911280285,0.06712132490072402,0.06683950324388344,[0.0733797  0.02627468 0.07170627],[1.89903466e-05 0.00000000e+00 0.00000000e+00],[2.0056338  2.00394366 2.00394366],1.0500324925555036
london_transport,356,3,0.5,-1616.5921006371334,0.46281988239091565,0.11717498098390726,0.11434695272749643,[0.17888857 0.08108511 0.21111086],[1.89903466e-05 6.33011552e-06 1.89903466e-05],[2.00300047 2.00204779 2.00288337],1.0811391281809264
london_transport,356,3,0.7,-2666.986767167141,0.45043420994813343,0.17782190154191085,0.16229016932087031,[0.35717813 0.13850954 0.38537783],[3.16505776e-05 6.33011552e-06 1.26602310e-05],[2.00403861 1.9991391  1.99753759],1.0808238141872342
london_transport,356,3,0.9,-4105.7456797105915,0.5089783225628035,0.2041524202985198,0.19435001484517325,[0.52438619 0.23230942 0.69174227],[1.89903466e-05 6.33011552e-06 6.33011552e-06],[2.0056338  1.99271404 1.99272037],1.0203452435820712
london_transport,356,3,0.95,-4423.737377556054,0.5294799451638198,0.20470141843092762,0.18388070540160895,[0.58798182 0.24965646 0.76264229],[1.89903466e-05 6.33011552e-06 0.00000000e+00],[2.0056338  1.99146067 1.99147966],1.0129811010005967
london_transport,318,2,0.1,-inf,0.5038898159039309,0.0,0.0,[0.01555847 0.00689177],[5.95202667e-05 3.96801778e-05],[2.00629328 2.00612265],1.0
london_transport,318,2,0.2,-69.10304352517747,0.4006755306848688,0.012194215216993848,0.012148050941232228,[0.06791719 0.01799793],[2.30145031e-04 5.55522489e-05],[2.00630915 2.00535286],1.0296688713168922
london_transport,318,2,0.3,-146.8832273190913,0.3943726195490294,0.0,0.0,[0.1227011  0.03743526],[0.00047616 0.00016666],[2.00630915 2.00447592],1.0000235019973491
london_transport,318,2,0.5,-484.4887487734595,0.19272524259185805,0.04627686372903839,0.04609608630076846,[0.33898865 0.11457365],[0.00113485 0.00042061],[2.00630915 2.00111501],1.046410918320311
